gm_name,n_grams,counts,percent
,обоев ассортимент,9,0.16091543000178796
,обои покраску,2,0.03575898444484177
,образец паркета,2,0.03575898444484177
,образец подложки,3,0.05363847666726265
,образный увел,3,0.05363847666726265
,обрамление встраиваемое,3,0.05363847666726265
,обрамление наружное,2,0.03575898444484177
,обратный усиленный,2,0.03575898444484177
,обрезиненным клином,3,0.05363847666726265
,одинарный пустотелый,2,0.03575898444484177
,однодисковая columbus,3,0.05363847666726265
,однодисковая машина,3,0.05363847666726265
,округлая планка,4,0.07151796888968354
,ольха серая,6,0.1072769533345253
,осина сорт,4,0.07151796888968354
,основе sikaseal,2,0.03575898444484177
,основе мх,2,0.03575898444484177
,основе растворителя,2,0.03575898444484177
,остаток линолеума,2,0.03575898444484177
,отверстием белый,3,0.05363847666726265
,отверстием крепления,2,0.03575898444484177
,отверстием черный,3,0.05363847666726265
,ответвительный прокалывающий,4,0.07151796888968354
,отвод толщина,3,0.05363847666726265
,открытого типа,2,0.03575898444484177
,открытой установки,2,0.03575898444484177
,отопления гвс,2,0.03575898444484177
,отрез ртп,2,0.03575898444484177
,отрезной металлу,3,0.05363847666726265
,пайку tdm,2,0.03575898444484177
,пакет зиплок,3,0.05363847666726265
,пакет майка,4,0.07151796888968354
,пакет подарочный,5,0.08939746111210442
,палермо бел,4,0.07151796888968354
,палубная лиственница,2,0.03575898444484177
,паркета salsa,2,0.03575898444484177
,паркета ламината,2,0.03575898444484177
,паркете цвет,18,0.3218308600035759
,паркетной доски,4,0.07151796888968354
,пвд мкм,2,0.03575898444484177
,пена монтажная,2,0.03575898444484177
,пена пистолетная,2,0.03575898444484177
,переходная вн,2,0.03575898444484177
,песок серо,2,0.03575898444484177
,пистолетная полиуретановая,2,0.03575898444484177
,пк пайку,2,0.03575898444484177
,планка доборная,2,0.03575898444484177
,планка мебель,3,0.05363847666726265
,пластиковая крючками,4,0.07151796888968354
,плата материнская,2,0.03575898444484177
,плед нп,15,0.26819238333631323
,пленка полиэтиленовая,8,0.14303593777936707
,плинтус rico,10,0.17879492222420884
,плита изобокс,2,0.03575898444484177
,плитка керамическая,18,0.3218308600035759
,плитка ковровая,2,0.03575898444484177
,плитка тротуарная,8,0.14303593777936707
,плитки плитонит,17,0.303951367781155
,плитонит colorit,17,0.303951367781155
,плиточный sikaceram,2,0.03575898444484177
,пнг ls,3,0.05363847666726265
,поворотные ingco,3,0.05363847666726265
,подводка воды,5,0.08939746111210442
,подводка смесителя,6,0.1072769533345253
,подключения измерительных,2,0.03575898444484177
,подложка изолон,2,0.03575898444484177
,подложки ковролина,3,0.05363847666726265
,покраску виниловые,2,0.03575898444484177
,покрытие каучуковое,2,0.03575898444484177
,покрытий ек,2,0.03575898444484177
,покрытий су,2,0.03575898444484177
,покрытий тм,2,0.03575898444484177
,пол наливной,2,0.03575898444484177
,пола красно,2,0.03575898444484177
,пола хвойных,4,0.07151796888968354
,полиамид фазная,2,0.03575898444484177
,полипропиленовая sikafiber,2,0.03575898444484177
,полированная латунь,2,0.03575898444484177
,полировки покрытий,3,0.05363847666726265
,полиуретановая standard,2,0.03575898444484177
,полиуретановый sikaflex,6,0.1072769533345253
,полиэтиленовая гост,7,0.1251564455569462
,полок осина,4,0.07151796888968354
,полосорез ковролина,4,0.07151796888968354
,полотна нп,2,0.03575898444484177
,полуботинки монтер,3,0.05363847666726265
,полукомбинезон куратор,2,0.03575898444484177
,пород сорт,7,0.1251564455569462
,потолков beckers,3,0.05363847666726265
,потолков устойчивая,2,0.03575898444484177
,пп заглушка,4,0.07151796888968354
,пп кран,2,0.03575898444484177
,пп муфта,15,0.26819238333631323
,пп обводное,3,0.05363847666726265
