gm_name,gm_alt_name,gm_synonyms,counts
набор шлифлистов для дельташлифмашин,НАБОР ШЛИФЛИСТОВ ДЛЯ ДЕЛЬТАШЛИФМАШИН,,7
Переходники для труб из PEX,ПЕРЕХОДНИКИ ДЛЯ ТРУБ ИЗ PEX,"ПЕРЕХОД НА РЕЗЬБУ,ШТУЦЕР,ПЕРЕХОДНИК ДЛЯ ТРУБ ИЗ СШИТОГО ПОЛИЭТИЛЕНА,ПЕРЕХОДНАЯ МУФТА,ГАЙКА",10
Коннекторы для шлангов,КОННЕКТОР ДЛЯ ШЛАНГА,,3
Водоотводные лотки,ВОДООТВОДНЫЕ ЛОТКИ,"ВОДОСТОК,ЛИВНЕВАЯ КАНАЛИЗАЦИЯ,СЛИВ ТРОТУАРНЫЙ,ВОДООТВОД",5
Фанера,ФАНЕРА,"ФАНЕРА,ФОНЕРА",168
Уплотнители для кровли,УПЛОТНИТЕЛИ ДЛЯ КРОВЛИ,"УПЛОТНИТЕЛЬ ПРОФЛИСТА,УПЛОТНИТЕЛЬ ДЛЯ ПРОФНАСТИЛА,КОНЬКОВЫЙ УПЛОТНИТЕЛЬ,ЗАПОЛНИТЕЛЬ УНИВЕРСАЛЬНЫЙ",5
Трубы круглые,ТРУБЫ КРУГЛЫЕ,,5
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ПЕНОПЛАСТ,ПЕНОПОЛИСТИРОЛ,КАРБОН,ЭКСТРУЗИЯ,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ПЕНОПОЛИСТЕРОЛ,ЭКСТРУД",4
Минеральная вата,МИНЕРАЛЬНАЯ ВАТА,"ТЕПЛОИЗОЛЯЦИЯ,БАЗАЛЬТОВЫЙ УТЕПЛИТЕЛЬ,СТЕКЛОВОЛОКНИСТЫЙ,СТЕКЛОВАТА,МИНВАТА,МИН ПЛИТА",3
Арматура,АРМАТУРА,"VTNFKKJGHJRFN,АРМАТУРА,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,FHVFNEHF",3
