gm_name,gm_alt_name,gm_synonyms,counts
Запчасти для электроинструмента,ЗАПЧАСТИ ДЛЯ ЭЛЕКТРОИНСТРУМЕНТА,,68
Минеральная вата,МИНЕРАЛЬНАЯ ВАТА,"СТЕКЛОВАТА,СТЕКЛОВОЛОКНИСТЫЙ,ТЕПЛОИЗОЛЯЦИЯ,БАЗАЛЬТОВЫЙ УТЕПЛИТЕЛЬ,МИНВАТА,МИН ПЛИТА",31
Доска профильная,ДОСКА ПРОФИЛЬНАЯ,"ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДОСКА,ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ",1
паста,ПАСТА,,8
Комплекты реечного потолка,КОМПЛЕКТЫ РЕЕЧНОГО ПОТОЛКА,"РЕЕЧНЫЙ ПОТОЛОК,КОМПЛЕКТ ПОТОЛКА,АЛЮМИНИЕВЫЙ ПОТОЛОК",1
Дальномеры лазерные,ДАЛЬНОМЕРЫ ЛАЗЕРНЫЕ,"ЛАЗЕРНЫЙ ДАЛЬНОМЕР,LFKMYJVTH,KFPTHYFZ HEKTNRF,KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТ,ДАЛЬНОМЕР,ЛАЗЕРНАЯ РУЛЕТКА",1
Террасная доска,ТЕРРАСНАЯ ДОСКА,"ТЕРРАСНЫЙ ПАРКЕТ,ДЕКИНГ",62
Зажигалки,ЗАЖИГАЛКИ,,2
Влаговпитывающие коврики,КОВРИКИ ВЛАГОВПИТЫВАЮЩИЕ,"ВЛАГОВПИТЫВАЮЩИЙ,ПРИДВЕРНЫЙ,КОВРИК,ГРЯЗЕЗАЩИТНЫЕ КОВРИКИ",35
Кладочные и монтажные смеси,КЛАДОЧНЫЕ И МОНТАЖНЫЕ СМЕСИ,"МОНТАЖНЫЙ СОСТАВ,МОНТАЖНАЯ СМЕСЬ,ГИПСОБЕТОН,КЛАДОЧНАЯ СМЕСЬ,КЛАДОЧНЫЙ РАСТВОР,БЛОЧНЫЙ КЛЕЙ,КЛАДОЧНЫЙ СОСТАВ,КЛЕЙ ДЛЯ БЛОКОВ",2
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ПОЛИПРОПИЛЕНОВЫЙ ОТВОД,ВОДОРОЗЕТКА ПП,ПП УГОЛЬНИКИ,ПП УГОЛ,ПП ОТВОД,ПП КОЛЕНО,ПОЛИПРОПИЛЕНОВЫЙ УГОЛ,ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО",2
Звонки беспроводные,ЗВОНОК БЕСПРОВОДНОЙ,,26
Талреп,ТАЛРЕП,,14
Каркас арматурный,КАРКАС АРМАТУРНЫЙ,"КАРКАС МЕТАЛИЧЕСКИЙ,VTNFKKJGHJRFN,RFHRFC VTNFK,RFHRFC VTNFKKBXTCRBQ,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,КАРКАС",2
Мойки высокого давления,МОЙКА ВЫСОКОГО ДАВЛЕНИЯ,,30
Уголок металлический,УГОЛОК МЕТАЛЛИЧЕСКИЙ,"УГОЛОК,УГОЛОК МЕТАЛИЧЕСКИЙ,УГОЛОК МЕТАЛЛИЧЕСКИЙ,УГОЛОК МЕТАЛЛ,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,VTNFKKJGHJRFN",94
релейный модуль для настенной установки,РЕЛЕЙНЫЙ МОДУЛЬ ДЛЯ НАСТЕННОЙ УСТАНОВКИ,,1
Полипропиленовые муфты,ПОЛИПРОПИЛЕНОВЫЕ МУФТЫ,"МУФТА ПП,МУФТА СОЕДИНИТЕЛЬНАЯ,МУФТА ПЕРЕХОДНАЯ,ПОЛИПРОПИЛЕН",45
колпак для штукатурной станции,КОЛПАК ДЛЯ ШТУКАТУРНОЙ СТАНЦИИ,КОЛПАК ВДУВНОЙ,4
Проволока,ПРОВОЛОКА,"VTNFKKJGHJRFN,GHJDJKJRF,GHJDJKRF,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,ПРОВОЛКА",3
Дальномеры лазерные,ДАЛЬНОМЕРЫ ЛАЗЕРНЫЕ,"KFPTHYFZ HEKTNRF,LFKMYJVTH,ЭЛЕКТРОИНСТРУМЕНТ,ДАЛЬНОМЕР,ЛАЗЕРНЫЙ ДАЛЬНОМЕР,KTRNHJBYCNHEVTYN,ЛАЗЕРНАЯ РУЛЕТКА",1
Крем,КРЕМ,,4
Ножовки,НОЖОВКИ,"НОЖОВКИ ПО МЕТАЛЛУ,НОЖОВКИ ПО ДЕРЕВУ,YJ*DRB,НАЖОВКИ",1
Планка сливная,ПЛАНКА СЛИВНАЯ,,1
Промышленные насосы,ПРОМЫШЛЕННЫЕ НАСОСЫ,,184
"Разъемы, коннекторы","РАЗЪЕМЫ, КОННЕКТОРЫ","ПЕРЕХОДНИКИ,ШТЕКЕРЫ",37
Ролик,РОЛИК,ВАЛИК,3
Зубила ручные,ЗУБИЛО РУЧНОЕ,,21
Водоотводные лотки,ВОДООТВОДНЫЕ ЛОТКИ,"ВОДООТВОД,СЛИВ ТРОТУАРНЫЙ,ЛИВНЕВАЯ КАНАЛИЗАЦИЯ,ВОДОСТОК",2
Ключи шестигранные,КЛЮЧ ШЕСТИГРАННЫЙ,"ШЕСТИГРАННИК,ШЕСТИГРАНИК,ИМБУСОВЫЙ",14
Аккумуляторы холода,АККУМУЛЯТОР ХОЛОДА,,1
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"KTRNHJBYCNHEVTYNS,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,БОЛГАРКА",7
Термопары для мультиметров,ТЕРМОПАРА ДЛЯ МУЛЬТИМЕТРА,,5
Двери для гамака,ДВЕРЬ ДЛЯ ГАМАКА,,1
ткань базальтовая,ТКАНЬ БАЗАЛЬТОВАЯ,,1
шнек для мотобензобура,ШНЕК ДЛЯ МОТОБЕНЗОБУРА,,5
Шпаклевки,ШПАКЛЕВКА,"IGFNKTDRF,IGFRKTDRF,ШПАТЛЕВКА,ЗАМАЗКА,ШПАТЛЕВАНИЕ,ПРОМАЗКА,ШПАКЛЕВАНИЕ",2
Латунные ниппели,ЛАТУННЫЕ НИППЕЛИ,МУФТА С НАРУЖНОЙ РЕЗЬБОЙ,116
Щетки для обоев,ЩЕТКА ДЛЯ ОБОЕВ,,2
Клей для укладки искусственной травы,КЛЕЙ ДЛЯ УКЛАДКИ ИСКУССТВЕННОЙ ТРАВЫ,"ТРАВА,ГАЗОН",1
Спички,СПИЧКИ,,1
Доска профильная,ДОСКА ПРОФИЛЬНАЯ,"ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДОСКА,ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ",1
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"РУБИРОИД,РУБЕРОИТ,РУБЕРОИД,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,РУБИРОИТ,РУБИРОЙД,РУЛОНКА,ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,КРОВЛЯ РУЛОННАЯ",3
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"ЗАКЛАДКА,ПЛАНКА,УГОЛКИ ПОД ПЛИТКУ,ПРОФИЛЬ,ДЛЯ ПЛИТКИ,РАСКЛАДКА,УГОЛОК",1
Масла для цепей,МАСЛА ДЛЯ ЦЕПЕЙ,,10
Панель стеновая,ПАНЕЛЬ СТЕНОВАЯ,"П-25,ПАНЕЛЬ П-25,ПЛАСТИКОВАЯ ПАНЕЛЬ,П25,СТЕНОВАЯ ПАНЕЛЬ",1
Профиль для поликарбоната,ПРОФИЛЬ ДЛЯ ПОЛИКАРБОНАТА,"СОЕДЕНИТЕЛЬНЙ ПРОФИЛЬ,ПОЛИКАРБОНАТ,ПРОФИЛЬ",20
Триммеры электрические,ТРИММЕРЫ ЭЛЕКТРИЧЕСКИЕ,"ТРИМЕР,ЭЛЕКТРОКОСА",20
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"РУБЕРОИТ,РУБЕРОИД,ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,РУБИРОЙД,РУБИРОИТ,РУБИРОИД,КРОВЛЯ РУЛОННАЯ,РУЛОНКА,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ",2
Корщетка для дрели,КОРЩЕТКА ДЛЯ ДРЕЛИ,"ДИСКОВАЯ ЩЕТКА,КОРДЩЕТКА ДЛЯ ДРЕЛИ,ЧАШЕЧНАЯ ЩЕТКА",1
Пробковые покрытия,ПРОБКОВЫЕ ПОКРЫТИЯ,ПРОБКА,158
Пленки полиэтиленовые,ПЛЕНКИ ПОЛИЭТИЛЕНОВЫЕ,"ПЛЕНКА П/Э,ЦЕЛОФА,ЦЕЛОФАН,ПЛЕНКА ПЭ",3
соединитель плоский угловой с круглым,СОЕДИНИТЕЛЬ ПЛОСКИЙ УГЛОВОЙ С КРУГЛЫМ,,1
Ограничитель парковки,ОГРАНИЧИТЕЛЬ ПАРКОВКИ,,4
фланцевая прокладка,ФЛАНЦЕВАЯ ПРОКЛАДКА,,17
Сетевые фильтры,ФИЛЬТР СЕТЕВОЙ,,12
Электропилы,ПИЛА ЦЕПНАЯ ЭЛЕКТРИЧЕСКАЯ,"WTGYFZ GBKF,KTRNHJGBKF,ЦЕПНАЯ ПИЛА,ЭЛЕКТРИЧЕСКИЕ ЦЕПНЫЕ ПИЛЫ,KTRNHJBYCNHEVTYN,ЭЛЕКТРОПИЛЫ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕТРОПИЛА",2
Нагревательные маты,НАГРЕВАТЕЛЬНЫЙ МАТ,"ТЕПЛЫЙ ПОЛ,НАГРЕВАТЕЛЬНЫЙ МАТ",68
Ванны,ВАННЫ,"ЧУГУННЫЕ ВАННЫ,СТАЛЬНЫЕ ВАННЫ,ВАННА АКРИЛОВАЯ,ВАННА,АКРИЛ,АКРИЛОВЫЕ ВАННЫ",4
Тележки для шлангов,ТЕЛЕЖКИ ДЛЯ ШЛАНГОВ,,8
Бак для банной печи,БАК ДЛЯ БАННОЙ ПЕЧИ,,9
Светодиодная лента,СВЕТОДИОДНАЯ ЛЕНТА,,115
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ПЕНОПОЛИСТЕРОЛ,ПЕНОПОЛИСТИРОЛ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ПЕНОПЛАСТ,КАРБОН,ЭКСТРУД,ЭКСТРУЗИЯ,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ",3
Заборные решетки,СЕТКА ДЛЯ ОГРАЖДЕНИЯ,"СЕТКА ДЛЯ ОГРАЖДЕНИЯ,РЕШЕТКА САДОВАЯ,ОБЩЕСТРОИТЕЛЬНАЯ",7
Влаговпитывающие коврики,КОВРИКИ ВЛАГОВПИТЫВАЮЩИЕ,"ГРЯЗЕЗАЩИТНЫЕ КОВРИКИ,КОВРИК,ВЛАГОВПИТЫВАЮЩИЙ,ПРИДВЕРНЫЙ",7
сушилка для белья,СУШИЛКА ДЛЯ БЕЛЬЯ,,5
Доска обрезная,ДОСКА ОБРЕЗНАЯ,"ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ,LJCRF,ДОСКА ОБРЕЗНАЯ,ДОСКА,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ",2
Подвязка,ПОДВЯЗКА,,1
Розетты декоративные,РОЗЕТТЫ ДЕКОРАТИВНЫЕ,"ЭЛЕМЕНТ ПРИМЫКАНИЯ,ПЛАСТИКОВАЯ НАКЛАДКА,ОБВОД ДЛЯ ТРУБ,КРУЖОК,ЗАГЛУШКА",69
Шпаклевки,ШПАКЛЕВКА,"ПРОМАЗКА,ЗАМАЗКА,IGFRKTDRF,IGFNKTDRF,ШПАТЛЕВКА,ШПАТЛЕВАНИЕ,ШПАКЛЕВАНИЕ",4
Лист металлический,ЛИСТ МЕТАЛЛИЧЕСКИЙ,"МЕТАЛОПРОКАТ,ЛИСТ МЕТАЛ,ЛИСТ МЕТАЛЛИЧЕСКИЙ,МЕТАЛЛОПРОКАТ,VTNFKKJGHJRFN,ЛИСТ СТАЛЬНОЙ",3
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"ПЛАНКА,ЗАКЛАДКА,УГОЛОК,УГОЛКИ ПОД ПЛИТКУ,ПРОФИЛЬ,РАСКЛАДКА,ДЛЯ ПЛИТКИ",4
полотенце бумажное,ПОЛОТЕНЦЕ БУМАЖНОЕ,,2
Мешки для мусора,МЕШКИ ДЛЯ МУСОРА,"МУСОРНЫЙ МЕШОК,МЕШОК,МЕШКИ,МЕШЕК",10
Блоки газобетонные,БЛОКИ ГАЗОБЕТОННЫЕ,"ГАЗОБЕТОН,ГАЗОСИЛИКАТ,ГАЗОБЛОК,ГАЗОСИЛИКАТНЫЙ,ПЕНОБЛОК,СТРОИТЕЛЬНЫЕ БЛОКИ",6
Сетка сварная,СЕТКА СВАРНАЯ,"СЕТКА АРМАТУРНАЯ,СЕТКА ИЗ ПРОВОЛОКИ,СЕТКА ДОРОЖНАЯ,СЕТКА КАРТА,СЕТКА МЕТАЛЛИЧЕСКАЯ,СЕТКА РУЛОН,КЛАДОЧНАЯ СЕТКА",6
Бетономешалки,БЕТОНОМЕШАЛКИ,"БЕТОНКА,РАСТВОРОСМЕСИТЕЛЬ,МЕШАЛКА,БЕТОНЬЕРКА,БЕТОНОСМЕСИТЕЛЬ",5
Пресс инструмент,ПРЕСС ИНСТРУМЕНТ,"ЭЛЕКТРИЧЕСКИЙ,РУЧНОЙ",8
Проволока,ПРОВОЛОКА,"МЕТАЛОПРОКАТ,ПРОВОЛКА,VTNFKKJGHJRFN,GHJDJKJRF,GHJDJKRF,МЕТАЛЛОПРОКАТ",2
Пропитка декоративно-защитная для дерева,ПРОПИТКА ДЕКОРАТИВНО-ЗАЩИТНАЯ ДЛЯ ДЕРЕВА,"ДЕРЕВОЗАЩИТА,ДВЗ,ЛЕССИРУЮЩИЙ АНТИСЕПТИК,МОРИЛКА",187
Лобзики,ЭЛЕКТРИЧЕСКИЙ ЛОБЗИК,"ЭЛЕКТРОЛОБЗИК,KTRNHJKJ,PBR,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ",10
Планка стартовая,ПЛАНКА СТАРТОВАЯ,,23
Крестики для плитки,КРЕСТИКИ ДЛЯ ПЛИТКИ,КРЕСТИКИ ДЛЯ КАФЕЛЯ,68
Кельмы,КЕЛЬМА,МАСТЕРОК,66
Угольники для МП труб,УГОЛЬНИКИ ДЛЯ МП ТРУБ,"УГОЛОК,ВОДОРОЗЕТКА,УГОЛЬНИКИ ДЛЯ МЕТАЛЛОПЛАСТИКА,УГОЛЬНИК-ПЕРЕХОДНИК НА РЕЗЬБУ,ПЕРЕХОД НА РЕЗЬБУ УГЛОВОЙ",17
Клей для стыков линолеума,КЛЕЙ ДЛЯ СТЫКОВ ЛИНОЛЕУМА,"ХОЛОДНАЯ СВАРКА,НАПОЛЬНЫХ ПОКРЫТИЙ,РЕАКЦИОННЫЙ КЛЕЙ",1
мультитул,МУЛЬТИТУЛ,"МУЛЬТИИНСТРУМЕНТ,МУЛЬТИФУНКЦИОНАЛЬНЫЙ ИНСТРУМЕНТ",1
Решетка вентиляционная радиаторная,РЕШЕТКА ВЕНТИЛЯЦИОННАЯ РАДИАТОРНАЯ,,8
Аккумуляторные граверы,АККУМУЛЯТОРНЫЙ ГРАВЕР,"ШЛИФМАШИНА ГРАВИРОВАЛЬНАЯ,РОТАЦИОННЫЙ ИНСТРУМЕНТ,БОРМАШИНА",2
Кромка,КРОМКА,,11
Пистолеты смазочные,ПИСТОЛЕТ СМАЗОЧНЫЙ,,1
Мотопомпы,МОТОПОМПЫ,,21
Слив для водостока металлического,СЛИВ ВОДОСТОКА МЕТАЛЛИЧЕСКОГО,"КОЛЕНО,ПВХ КОЛЕНО,ВОДОСТОК",3
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ВОДОРОЗЕТКА ПП,ПП УГОЛЬНИКИ,ПП УГОЛ,ПП ОТВОД,ПП КОЛЕНО,ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО,ПОЛИПРОПИЛЕНОВЫЙ УГОЛ,ПОЛИПРОПИЛЕНОВЫЙ ОТВОД",6
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"РУБЕРОИТ,РУБИРОИД,РУБИРОИТ,РУБЕРОИД,ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,РУБИРОЙД,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,РУЛОНКА,КРОВЛЯ РУЛОННАЯ",10
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"ЗАКЛАДКА,ПЛАНКА,УГОЛКИ ПОД ПЛИТКУ,УГОЛОК,ПРОФИЛЬ,РАСКЛАДКА,ДЛЯ ПЛИТКИ",1
бетон,БЕТОН,,17
Влаговпитывающие коврики,КОВРИКИ ВЛАГОВПИТЫВАЮЩИЕ,"ГРЯЗЕЗАЩИТНЫЕ КОВРИКИ,КОВРИК,ПРИДВЕРНЫЙ,ВЛАГОВПИТЫВАЮЩИЙ",10
режущий элемент для плиткореза,РЕЖУЩИЙ ЭЛЕМЕНТ ДЛЯ ПЛИТКОРЕЗА,,15
безмен,БЕЗМЕН,,1
Вилы садовоогородные,ВИЛЫ САДОВООГОРОДНЫЕ,,4
Чугунные заглушки,ЧУГУННЫЕ ЗАГЛУШКИ,,2
Фалы,ФАЛЫ,,6
Воск для восстановления паркета и ламината,ВОСК ДЛЯ ВОССТАНОВЛЕНИЯ ПАРКЕТА И ЛАМИНАТА,,26
Ванны,ВАННЫ,"СТАЛЬНЫЕ ВАННЫ,АКРИЛ,ВАННА АКРИЛОВАЯ,ВАННА,АКРИЛОВЫЕ ВАННЫ,ЧУГУННЫЕ ВАННЫ",3
OSB,OSB,"OSB,ЮСБИ,ЮСБ,ОСП,ОСБ,ОЗБ,USB",15
Колер,КОЛЕР,"ПАСТА КОЛЕРОВОЧНАЯ,КОЛЛЕР RJKTH,КОЛЕP",5
Опорные плиты,ОПОРНЫЕ ПЛИТЫ,,14
Замазка рамная,ЗАМАЗКА РАМНАЯ,"ЗАМАЗКА ОКОННАЯ,ДЛЯ ЗАДЕЛКИ ОКОННЫХ РАМ",1
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"УГОЛОК,УГОЛКИ ПОД ПЛИТКУ,РАСКЛАДКА,ДЛЯ ПЛИТКИ,ПРОФИЛЬ,ПЛАНКА,ЗАКЛАДКА",3
Блок дистанционного управления,БЛОК ДИСТАНЦИОННОГО УПРАВЛЕНИЯ,,10
Панели потолочные,ПАНЕЛИ ПОТОЛОЧНЫЕ,"ПАНЕЛЬ ПВХ,ПЕЧЕНЮШКА,ПОДВЕСНОЙ ПОТОЛОК,ШАШКИ,ПОТОЛОК,ПАНЕЛЬ ДЛЯ ПОТОЛКА",1
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ПЕНОПЛАСТ,ПЕНОПОЛИСТИРОЛ,ПЕНОПОЛИСТЕРОЛ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ЭКСТРУД,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ЭКСТРУЗИЯ,КАРБОН",9
Аквилон,АКВИЛОН,ДЛЯ МЕТАЛЛОСАЙДИНГА,7
Пистолеты клеевые,ПИСТОЛЕТЫ КЛЕЕВЫЕ,ПИСТОЛЕТ ТЕРМОКЛЕЯЩИЙ ЭЛЕКТРИЧЕСКИЙ,34
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ЭКСТРУД,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ПЕНОПОЛИСТИРОЛ,ПЕНОПОЛИСТЕРОЛ,ЭКСТРУЗИЯ,КАРБОН,ПЕНОПЛАСТ",4
Крепления для радиаторов,КРЕПЛЕНИЯ ДЛЯ РАДИАТОРОВ,,56
Строительные сетки,СТРОИТЕЛЬНЫЕ СЕТКИ,"СЕТКА МАЛЯРНАЯ,СЕТКА ФАСАДНАЯ,СЕТКА ШТУКАТУРНАЯ,СЕТКА СТЕКЛЯННАЯ,СЕТКА СТЕКЛОТКАНЕВАЯ,СТЕКЛОСЕТКА",1
Угол для ПНД труб,УГОЛ ДЛЯ ПНД ТРУБ,"КОЛЕНО ДЛЯ ПНД,УГОЛЬНИК ДЛЯ ПНД,УГОЛЬНИК ПОЛИПРОПИЛЕНОВЫЙ,ОТВОД ДЛЯ ПНД ТРУБ,УГОЛ ДЛЯ ПНД",4
Фасонное изделие для мателлического сайдинга,ФАСОННОЕ ИЗДЕЛИЕ ДЛЯ МАТЕЛЛИЧЕСКОГО САЙДИНГА,ДЛЯ МЕТАЛЛОСАЙДИНГА,5
скрепа мебельная,СКРЕПА МЕБЕЛЬНАЯ,,1
Дюбель для теплоизоляции,ДЮБЕЛЬ ДЛЯ ТЕПЛОИЗОЛЯЦИИ,"ДЮБЕЛЬ-ЗОНТ,ЗОНТИК,РОНДОЛЬ,ДЮПЕЛЬ",19
переходник фубаг,ПЕРЕХОДНИК ФУБАГ,,76
Балка,БАЛКА,",FKRF,VTNFKKJGHJRFN,БАЛКА МЕТАЛЛИЧЕСКАЯ,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,БАЛКА,БАЛКА МЕТАЛЛ",4
Спанбонд,СПАНБОНД,"НЕТКАННЫЙ МАТЕРИАЛ,УКРЫВНОЙ МАТЕРИАЛ",20
Пропитка защитная для дерева,ПРОПИТКА ЗАЩИТНАЯ ДЛЯ ДЕРЕВА,"ДВЗ,ДЕРЕВОЗАЩИТА,БИОЗАЩИТА,ОГНЕЗАЩИТА",12
Щебень,ЩЕБЕНЬ,"ЦЕБЕНЬ,ЩЕБЕНЬ,OT,TYM",2
Ключ для контроллера,КЛЮЧ ДЛЯ КОНТРОЛЛЕРА,,6
Комплекты смесителей,КОМПЛЕКТЫ СМЕСИТЕЛЕЙ,"НАБОРЫ СМЕСИТЕЛЕЙ 3 В 1,НАБОР СМЕСИТЕЛЕЙ,КОМПЛЕКТ СМЕСИТЕЛЕЙ 3 В 1,КОМПЛЕКТ СМЕСИТЕЛЕЙ",13
Шифер волновой,ШИФЕР ВОЛНОВОЙ,ЛИСТ ХРИЗОТИЛЦЕМЕНТНЫЙ,12
тройник с термометром,ТРОЙНИК С ТЕРМОМЕТРОМ,,1
Вагонка,ВАГОНКА,"ВАГОНКА,DFUJYRF,ППИЛОМАТЕРИАЛЫ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ",2
Тройники для ПНД труб,ТРОЙНИКИ ДЛЯ ПНД ТРУБ,"ПЕРЕХОДНОЙ ПП ТРОЙНИК ДЛЯ ПНД,ПОЛИПРОПИЛЕНОВЫЙ ТРОЙНИК,ТРОЙНИК КОМПРЕССИОННЫЙ,ПП ТРОЙНИК ДЛЯ ПНД",2
Доска обрезная,ДОСКА ОБРЕЗНАЯ,"ПИЛОМАТЕРИАЛ,LJCRF,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ДОСКА,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДОСКА ОБРЕЗНАЯ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ",1
Канализационные насосные установки,КАНАЛИЗАЦИОННЫЕ НАСОСНЫЕ УСТАНОВКИ,"ДАЧНАЯ КАНАЛИЗАЦИЯ,ПОВЕРХНОСТНЫЕ КАНАЛИЗАЦИОННЫЕ УСТАНОВКИ,НАСОСЫ КАНАЛИЗАЦИОННЫЕ,КАНАЛИЗАЦИОННЫЕ УСТАНОВКИ",1
Диффузор для насоса,ДИФФУЗОР ДЛЯ НАСОСА,,3
разветвитель,РАЗВЕТВИТЕЛЬ,,4
Брус обрезной,БРУС ОБРЕЗНОЙ,"ППИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,БРУС,ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,,HEC,БРУС ОБРЕЗНОЙ",1
Дизельные пушки,ДИЗЕЛЬНЫЕ ПУШКИ,,25
переходник для установки высокого давления,ПЕРЕХОДНИК ДЛЯ УСТАНОВКИ ВЫСОКОГО ДАВЛЕНИЯ,,19
Стрейч пленки,ПЛЕНКА СТРЕЙЧ,ПЛЕНКА СТРЕЙЧ,1
Контроллеры,КОНТРОЛЛЕР ДЛЯ СВЕТОДИОДНОЙ ЛЕНТЫ,,17
Тройники для труб из PEX,ТРОЙНИКИ ДЛЯ ТРУБ ИЗ PEX,СП ТРОЙНИКИ,192
Лист металлический,ЛИСТ МЕТАЛЛИЧЕСКИЙ,"VTNFKKJGHJRFN,ЛИСТ МЕТАЛЛИЧЕСКИЙ,ЛИСТ МЕТАЛ,ЛИСТ СТАЛЬНОЙ,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ",3
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО,ВОДОРОЗЕТКА ПП,ПОЛИПРОПИЛЕНОВЫЙ ОТВОД,ПОЛИПРОПИЛЕНОВЫЙ УГОЛ,ПП КОЛЕНО,ПП ОТВОД,ПП УГОЛ,ПП УГОЛЬНИКИ",1
Дюбель-гвоздь,ДЮБЕЛЬ-ГВОЗДЬ,"ДЮПЕЛЬ,OMAX,ЛЮБЕЛЬ-ГВОЗДЬ",48
Опорные столы для инструмента,ОПОРНЫЙ СТОЛ ДЛЯ ИНСТРУМЕНТА,"ВЕРСТАК ДЛЯ ИНСТРУМЕНТА,ПОДСТАВКА ДЛЯ ИНСТРУМЕНТА",5
Круг зачистной,КРУГ ЗАЧИСТНОЙ,,6
Щебень,ЩЕБЕНЬ,"ЦЕБЕНЬ,OT,TYM,ЩЕБЕНЬ",8
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"БОЛГАРКА,KTRNHJBYCNHEVTYNS,ЭЛЕКТРОИНСТРУМЕНТ,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,ЭЛЕКТРОИНСТРУМЕНТЫ,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА",1
